I1_Station;I1_Depth;I1_C5-1;I1_C5-2;I1_C5-3;I1_C5-4;I1_C5-5;I1_C4-1;I1_C4-2;I1_C4-3;I1_C4-4;I2_Cruise;I2_Station;I2_Type;I2_yyyy-mm-ddThh:mm:ss.sss;I2_Longitude [degrees_east];I2_Latitude [degrees_north];I2_Bot. Depth [m];I2_Depth [salt water, m];I2_Pressure, Digiquartz [db];I2_Temperature [ITS-90, deg C];I2_Salinity, Practical [PSU];I2_Temperature, 2 [ITS-90, deg C];I2_Salinity, Practical, 2 [PSU];I2_Fluorescence, WET Labs ECO-AFL/FL [mg/m^3];I2_OBS, Seatech LS6000;I2_Beam Transmission, WET Labs C-Star [%];I2_Oxygen, SBE 43 [ml/l];I2_Altimeter [m];I2_Pump Status;I2_Bottles Fired;I2_Bottle Position in Carousel;I2_Density [sigma-theta, kg/m^3];I2_Density, 2 [sigma-theta, kg/m^3];I2_Potential Temperature [ITS-90, deg C];I2_Potential Temperature, 2 [ITS-90, deg C];I2_Oxygen, SBE43_raw [ml/l]
1;5;0,190944406;0,15741183;0,113949542;0,180441775;0,048864775;0,155074984;0,155561254;0,087676478;0,19881181;ESAW1;1;C;2015-12-13T07:05:39.000;17,00267;41,169;109;4,961;5;14,599;36,979198;14,5975;36,978401;0,586;1,37;96,786;5,6027;98,58;1;0;0;27,5881;27,5875;14,5982;14,5967;
"";;;;;;;;;;;ESAW1;1;C;2015-12-13T07:05:39.000;17,00267;41,169;109;3,969;4;14,5978;36,9795;14,6008;36,978802;0,5555;1,2399;96,695;5,6015;98,58;1;0;0;27,588499;27,5875;14,5972;14,6002;
"";;;;;;;;;;;ESAW1;1;C;2015-12-13T07:05:39.000;17,00267;41,169;109;1,984;2;14,596;36,979698;14,5973;36,979301;0,5507;1,2483;96,8058;5,5995;102,43;1;0;0;27,5889;27,588301;14,5957;14,597;
"";;;;;;;;;;;ESAW1;1;C;2015-12-13T07:05:39.000;17,00267;41,169;109;9,922;10;14,5997;36,9785;14,602;36,978001;0,5904;1,2149;96,6977;5,6021;98,58;1;0;0;27,5875;27,5867;14,5982;14,6005;
"";;;;;;;;;;;ESAW1;1;C;2015-12-13T07:05:39.000;17,00267;41,169;109;15,875;16;14,6059;36,9809;14,6156;36,982498;0,5814;1,2088;96,8495;5,5927;98,52;1;0;0;27,588301;27,587799;14,6035;14,6132;
"";;;;;;;;;;;ESAW1;1;C;2015-12-13T07:05:39.000;17,00267;41,169;109;16,867;17;14,6121;36,9828;14,6207;36,983299;0,5789;1,2352;96,8726;5,5865;98,55;1;0;0;27,588499;27,5877;14,6095;14,6181;
"";;;;;;;;;;;ESAW1;1;C;2015-12-13T07:05:39.000;17,00267;41,169;109;6,945;7;14,5982;36,978298;14,5969;36,9771;0,5823;1,22;96,7396;5,6103;98,58;1;0;0;27,587601;27,5868;14,5972;14,5959;
"";;;;;;;;;;;ESAW1;1;C;2015-12-13T07:05:39.000;17,00267;41,169;109;10,914;11;14,5992;36,978401;14,6003;36,977798;0,5658;1,2326;96,7133;5,6031;98,58;1;0;0;27,587601;27,586901;14,5975;14,5987;
"";;;;;;;;;;;ESAW1;1;C;2015-12-13T07:05:39.000;17,00267;41,169;109;11,907;12;14,5993;36,978199;14,5972;36,977299;0,5794;1,2202;96,7264;5,6022;98,58;1;0;0;27,5874;27,587;14,5975;14,5954;
"";;;;;;;;;;;ESAW1;1;C;2015-12-13T07:05:39.000;17,00267;41,169;109;0,992;1;14,5947;36,978699;14,5952;36,977798;0,5589;1,2107;96,6081;5,6184;-4,18;1;0;0;27,588499;27,5881;14,5946;14,5951;
"";;;;;;;;;;;ESAW1;1;C;2015-12-13T07:05:39.000;17,00267;41,169;109;5,953;6;14,5993;36,9786;14,6002;36,9776;0,6146;1,3886;96,8931;5,5908;98,58;1;0;0;27,5875;27,586599;14,5984;14,5993;
"";;;;;;;;;;;ESAW1;1;C;2015-12-13T07:05:39.000;17,00267;41,169;109;12,899;13;14,5984;36,978199;14,5993;36,9776;0,5796;1,2369;96,8171;5,6082;98,58;1;0;0;27,587601;27,587299;14,5965;14,5974;
"";;;;;;;;;;;ESAW1;1;C;2015-12-13T07:05:39.000;17,00267;41,169;109;17,859;18;14,6211;36,9855;14,6363;36,9888;0,55;1,2293;96,8418;5,6045;98,58;1;0;0;27,5888;27,5888;14,6184;14,6336;
"";;;;;;;;;;;ESAW1;1;C;2015-12-13T07:05:39.000;17,00267;41,169;109;2,977;3;14,595;36,9795;14,5938;36,978298;0,5615;1,2424;96,8119;5,6018;98,58;1;0;0;27,589001;27,5884;14,5946;14,5934;
"";;;;;;;;;;;ESAW1;1;C;2015-12-13T07:05:39.000;17,00267;41,169;109;13,891;14;14,5993;36,978802;14,603;36,978802;0,5955;1,2294;96,7125;5,6021;98,58;1;0;0;27,5879;27,5875;14,5972;14,6009;
"";;;;;;;;;;;ESAW1;1;C;2015-12-13T07:05:39.000;17,00267;41,169;109;8,93;9;14,5988;36,978298;14,5951;36,9771;0,5547;1,2377;96,6653;5,5991;98,58;1;0;0;27,5875;27,5874;14,5974;14,5938;
"";;;;;;;;;;;ESAW1;1;C;2015-12-13T07:05:39.000;17,00267;41,169;109;14,883;15;14,6017;36,9795;14,61;36,980598;0,5637;1,2166;96,7509;5,5959;98,58;1;0;0;27,5881;27,5875;14,5994;14,6077;
"";;;;;;;;;;;ESAW1;1;C;2015-12-13T07:05:39.000;17,00267;41,169;109;7,938;8;14,5993;36,9785;14,6015;36,9781;0,5596;1,217;96,7866;5,5981;98,58;1;0;0;27,5875;27,5868;14,5981;14,6003;
